J2000_name,Julian_date,Q/I_inst,err_Q/I_inst,U/I_inst,err_U/I_inst,Q/I,err_Q/I,U/I,err_U/I,PD[%],err_PD[%],EVPA[deg],err_EVPA[deg]
RBPLJ2042+7508,2457253.5756,0.011,0.003,0.002,0.004,0.013,0.004,0.002,0.004,1.3,0.4,4.2,8.9
RBPLJ2042+7508,2457262.4555,0.006,0.002,0.004,0.002,0.008,0.003,0.005,0.003,0.9,0.3,15.2,9.3
RBPLJ2042+7508,2457282.3835,0.008,0.004,0.002,0.004,0.010,0.004,0.002,0.004,1.0,0.5,4.5,15.4
RBPLJ2042+7508,2457286.4900,0.012,0.003,0.005,0.003,0.014,0.003,0.005,0.003,1.5,0.3,10.3,7.1
RBPLJ2042+7508,2457312.2837,0.013,0.003,0.004,0.004,0.015,0.004,0.004,0.004,1.5,0.4,6.7,7.1
RBPLJ2042+7508,2457330.2959,0.015,0.001,0.003,0.001,0.016,0.002,0.002,0.002,1.6,0.2,4.2,3.1
RBPLJ2042+7508,2457333.2874,0.012,0.001,-0.002,0.001,0.014,0.002,-0.002,0.002,1.4,0.2,-4.2,4.1
RBPLJ2042+7508,2457346.2238,0.011,0.003,-0.001,0.003,0.012,0.003,-0.001,0.003,1.2,0.3,-1.4,8.1
RBPLJ2051+1742,2456518.5392,0.014,0.013,0.001,0.014,0.016,0.013,0.000,0.014,1.6,1.4,0.9,32.6
RBPLJ2051+1742,2456591.3269,-0.006,0.007,-0.016,0.007,-0.005,0.007,-0.015,0.007,1.6,0.7,-53.5,15.2
RBPLJ2051+1742,2456599.3054,0.023,0.008,0.004,0.008,0.025,0.008,0.003,0.008,2.5,0.8,3.5,10.4
RBPLJ2131-0915,2456467.5080,-0.018,0.007,0.027,0.006,-0.015,0.007,0.028,0.006,3.2,0.7,59.4,6.0
RBPLJ2131-0915,2456485.5558,-0.042,0.005,0.051,0.004,-0.039,0.005,0.053,0.005,6.5,0.5,63.1,2.2
RBPLJ2131-0915,2456487.5250,-0.036,0.004,0.052,0.004,-0.033,0.005,0.054,0.004,6.3,0.4,60.7,1.9
RBPLJ2131-0915,2456489.5158,-0.044,0.004,0.047,0.004,-0.041,0.005,0.049,0.004,6.4,0.4,65.1,2.0
RBPLJ2131-0915,2456494.5424,-0.037,0.005,0.039,0.004,-0.034,0.005,0.041,0.004,5.4,0.5,65.0,2.5
RBPLJ2131-0915,2456512.4547,-0.040,0.005,0.054,0.004,-0.036,0.005,0.056,0.005,6.7,0.5,61.5,2.1
RBPLJ2131-0915,2456520.5137,-0.035,0.004,0.050,0.003,-0.032,0.005,0.052,0.004,6.1,0.4,60.7,1.8
RBPLJ2131-0915,2456523.4357,-0.003,0.007,0.050,0.006,0.000,0.007,0.050,0.006,5.0,0.6,45.0,3.2
RBPLJ2131-0915,2456528.4409,-0.004,0.007,0.035,0.006,-0.001,0.007,0.035,0.006,3.5,0.6,45.6,4.8
RBPLJ2131-0915,2456529.4741,-0.026,0.006,0.042,0.005,-0.023,0.006,0.043,0.005,4.9,0.5,58.8,3.1
RBPLJ2131-0915,2456532.4876,-0.020,0.007,0.047,0.006,-0.017,0.007,0.048,0.006,5.1,0.6,54.5,3.3
RBPLJ2131-0915,2456537.4329,-0.029,0.008,0.063,0.007,-0.025,0.008,0.065,0.007,6.9,0.7,55.5,3.0
RBPLJ2131-0915,2456541.3624,-0.019,0.004,0.053,0.004,-0.016,0.005,0.054,0.004,5.6,0.4,53.0,2.1
RBPLJ2131-0915,2456546.4225,-0.027,0.004,0.045,0.004,-0.024,0.005,0.046,0.004,5.2,0.4,58.7,2.3
RBPLJ2131-0915,2456550.3718,-0.013,0.008,0.052,0.007,-0.010,0.008,0.052,0.007,5.3,0.7,50.2,3.9
RBPLJ2131-0915,2456577.3268,-0.017,0.006,0.032,0.005,-0.014,0.006,0.033,0.005,3.6,0.5,56.6,4.2
RBPLJ2131-0915,2456586.2975,-0.048,0.006,0.048,0.005,-0.045,0.006,0.050,0.005,6.7,0.6,66.0,2.5
RBPLJ2131-0915,2456589.2831,-0.047,0.005,0.048,0.004,-0.044,0.005,0.050,0.005,6.7,0.5,65.7,2.1
RBPLJ2131-0915,2456594.2545,-0.043,0.006,0.057,0.005,-0.039,0.006,0.059,0.005,7.0,0.6,61.8,2.4
RBPLJ2131-0915,2456844.5361,-0.053,0.009,0.071,0.009,-0.048,0.010,0.073,0.009,8.8,0.9,61.8,3.0
RBPLJ2131-0915,2456854.4807,-0.048,0.008,0.067,0.007,-0.044,0.009,0.069,0.008,8.2,0.8,61.2,2.8
RBPLJ2131-0915,2456866.4446,-0.075,0.004,0.074,0.004,-0.071,0.006,0.077,0.005,10.4,0.5,66.3,1.4
RBPLJ2131-0915,2456874.4566,-0.070,0.005,0.067,0.004,-0.066,0.006,0.070,0.005,9.7,0.6,66.6,1.7
RBPLJ2131-0915,2456883.4889,-0.088,0.009,0.055,0.006,-0.084,0.009,0.058,0.007,10.2,0.9,72.6,2.4
RBPLJ2131-0915,2456901.4364,-0.049,0.006,0.081,0.005,-0.044,0.007,0.083,0.005,9.4,0.6,59.0,1.7
RBPLJ2131-0915,2456914.3811,-0.060,0.005,0.085,0.004,-0.056,0.006,0.088,0.004,10.4,0.5,61.2,1.3
RBPLJ2131-0915,2456942.3709,-0.048,0.010,0.112,0.009,-0.042,0.011,0.114,0.009,12.1,0.9,55.1,2.2
RBPLJ2131-0915,2456968.2765,0.001,0.011,0.070,0.009,0.005,0.011,0.071,0.009,7.1,0.9,43.0,3.5
RBPLJ2131-0915,2457188.5118,-0.081,0.006,0.078,0.005,-0.076,0.007,0.081,0.006,11.1,0.6,66.7,1.6
RBPLJ2131-0915,2457216.5757,-0.070,0.005,0.055,0.005,-0.066,0.006,0.058,0.005,8.8,0.6,69.5,1.9
RBPLJ2131-0915,2457229.5553,-0.056,0.004,0.082,0.003,-0.051,0.005,0.084,0.004,9.8,0.4,60.6,1.3
RBPLJ2131-0915,2457233.4872,-0.036,0.005,0.080,0.004,-0.032,0.006,0.082,0.004,8.8,0.5,55.7,1.6
RBPLJ2131-0915,2457238.4421,-0.068,0.006,0.086,0.005,-0.064,0.007,0.089,0.006,10.9,0.6,62.8,1.7
RBPLJ2131-0915,2457255.5346,-0.068,0.005,0.088,0.005,-0.063,0.006,0.091,0.005,11.1,0.6,62.3,1.5
RBPLJ2131-0915,2457265.3902,-0.065,0.007,0.092,0.005,-0.060,0.008,0.094,0.005,11.2,0.6,61.3,1.6
RBPLJ2131-0915,2457285.4095,-0.065,0.008,0.083,0.006,-0.060,0.009,0.085,0.007,10.4,0.7,62.6,2.0
RBPLJ2131-0915,2457311.3146,-0.057,0.006,0.092,0.004,-0.052,0.007,0.095,0.005,10.8,0.5,59.4,1.4
RBPLJ2131-0915,2457332.2312,-0.046,0.005,0.096,0.004,-0.040,0.006,0.098,0.004,10.6,0.5,56.3,1.3
RBPLJ2131-0915,2457336.2395,-0.056,0.005,0.081,0.004,-0.052,0.006,0.084,0.005,9.8,0.5,60.9,1.5
RBPLJ2131-0915,2457337.2248,-0.053,0.004,0.085,0.004,-0.048,0.006,0.087,0.004,10.0,0.5,59.4,1.3
RBPLJ2143+1743,2456453.5433,0.005,0.002,0.001,0.002,0.007,0.003,0.001,0.002,0.7,0.3,5.6,11.4
RBPLJ2143+1743,2456486.5192,0.013,0.003,0.007,0.003,0.015,0.003,0.007,0.003,1.6,0.3,12.7,6.0
RBPLJ2143+1743,2456488.5336,0.020,0.003,0.008,0.003,0.021,0.003,0.008,0.003,2.3,0.3,9.9,4.4
RBPLJ2143+1743,2456512.5019,0.016,0.004,0.000,0.004,0.017,0.005,-0.001,0.004,1.7,0.5,-0.9,8.1
RBPLJ2143+1743,2456519.5488,0.005,0.003,-0.001,0.003,0.006,0.004,-0.001,0.003,0.6,0.4,-2.4,21.1
RBPLJ2143+1743,2456523.5201,0.007,0.004,-0.011,0.004,0.008,0.004,-0.011,0.004,1.4,0.4,-25.7,9.0
RBPLJ2143+1743,2456525.4853,0.031,0.008,-0.003,0.007,0.032,0.008,-0.004,0.007,3.2,0.8,-3.2,7.2
RBPLJ2143+1743,2456529.5064,0.018,0.003,-0.005,0.003,0.019,0.004,-0.005,0.003,2.0,0.3,-7.5,5.2
RBPLJ2143+1743,2456532.5167,0.006,0.003,-0.004,0.003,0.008,0.003,-0.003,0.003,0.8,0.3,-12.2,12.3
RBPLJ2143+1743,2456539.5334,0.005,0.003,-0.001,0.003,0.007,0.003,-0.001,0.003,0.7,0.3,-2.3,14.7
RBPLJ2143+1743,2456542.5140,0.004,0.003,-0.002,0.003,0.006,0.003,-0.001,0.003,0.6,0.3,-6.7,21.0
RBPLJ2143+1743,2456547.4871,0.009,0.003,0.002,0.003,0.010,0.003,0.002,0.003,1.0,0.3,6.5,9.0
RBPLJ2143+1743,2456550.4964,0.005,0.003,0.002,0.003,0.007,0.004,0.002,0.003,0.7,0.3,8.3,16.5
RBPLJ2143+1743,2456572.4524,0.008,0.003,-0.003,0.003,0.010,0.003,-0.003,0.003,1.0,0.3,-9.3,9.7
RBPLJ2143+1743,2456580.3872,0.017,0.004,-0.010,0.004,0.018,0.004,-0.011,0.004,2.1,0.4,-15.6,6.0
RBPLJ2143+1743,2456587.4340,0.014,0.004,-0.004,0.004,0.016,0.004,-0.004,0.004,1.6,0.4,-7.1,7.4
RBPLJ2143+1743,2456590.3894,0.008,0.003,-0.004,0.003,0.010,0.003,-0.004,0.003,1.1,0.3,-12.4,9.4
RBPLJ2143+1743,2456596.3573,0.005,0.003,-0.002,0.003,0.006,0.004,-0.002,0.003,0.6,0.3,-9.1,19.9
RBPLJ2143+1743,2456605.3089,0.013,0.004,-0.005,0.004,0.015,0.004,-0.005,0.004,1.5,0.4,-9.4,7.8
RBPLJ2143+1743,2456846.5898,-0.001,0.004,0.016,0.004,0.002,0.005,0.017,0.004,1.7,0.4,42.3,6.8
RBPLJ2143+1743,2456853.5461,-0.004,0.004,0.007,0.004,-0.002,0.005,0.008,0.004,0.8,0.4,52.6,15.7
RBPLJ2143+1743,2456865.5377,-0.009,0.003,0.015,0.003,-0.007,0.004,0.016,0.003,1.7,0.3,56.5,5.1
RBPLJ2143+1743,2456870.5354,-0.005,0.005,0.007,0.004,-0.003,0.005,0.008,0.005,0.8,0.5,55.8,19.9
RBPLJ2143+1743,2456879.5228,0.000,0.006,0.000,0.005,0.002,0.006,0.000,0.005,0.2,0.6,3.9,57.3
RBPLJ2143+1743,2456881.4507,0.018,0.004,0.002,0.003,0.019,0.004,0.002,0.004,1.9,0.4,3.0,6.5
RBPLJ2143+1743,2456885.4225,0.011,0.003,0.005,0.003,0.013,0.004,0.004,0.003,1.4,0.3,9.4,7.7
RBPLJ2143+1743,2456897.4611,0.012,0.006,0.005,0.005,0.014,0.006,0.005,0.006,1.5,0.6,10.0,13.9
RBPLJ2143+1743,2456902.4245,0.008,0.003,-0.001,0.003,0.009,0.004,-0.001,0.003,0.9,0.4,-2.1,12.3
RBPLJ2143+1743,2456921.4693,-0.004,0.003,0.005,0.003,-0.002,0.004,0.005,0.004,0.5,0.4,55.7,25.2
RBPLJ2143+1743,2456946.4262,0.000,0.003,0.000,0.003,0.002,0.003,0.000,0.003,0.2,0.3,4.4,53.1
RBPLJ2143+1743,2456979.2519,-0.014,0.002,0.012,0.002,-0.012,0.002,0.013,0.002,1.7,0.2,66.6,4.0
RBPLJ2143+1743,2457188.5354,0.012,0.002,-0.005,0.001,0.013,0.002,-0.006,0.002,1.4,0.2,-11.7,4.3
RBPLJ2143+1743,2457199.5696,0.000,0.006,0.004,0.005,0.001,0.006,0.004,0.005,0.4,0.5,36.0,43.2
RBPLJ2143+1743,2457216.5604,0.016,0.007,0.006,0.007,0.017,0.007,0.006,0.007,1.8,0.7,9.4,12.6
RBPLJ2143+1743,2457222.5468,0.010,0.003,-0.001,0.003,0.011,0.004,-0.001,0.003,1.1,0.3,-2.3,9.5
RBPLJ2143+1743,2457230.6095,0.012,0.006,-0.014,0.005,0.012,0.006,-0.014,0.005,1.9,0.6,-23.9,9.4
RBPLJ2143+1743,2457235.5665,0.028,0.006,-0.025,0.006,0.029,0.006,-0.026,0.006,3.9,0.6,-20.9,4.4
RBPLJ2143+1743,2457251.4089,0.013,0.003,0.001,0.003,0.015,0.003,0.001,0.003,1.5,0.3,1.8,6.4
RBPLJ2143+1743,2457262.4627,0.019,0.004,-0.010,0.004,0.020,0.004,-0.011,0.004,2.3,0.4,-14.0,5.1
RBPLJ2143+1743,2457265.5126,0.014,0.004,-0.017,0.004,0.015,0.004,-0.017,0.004,2.3,0.4,-24.8,5.6
RBPLJ2143+1743,2457284.5033,0.015,0.004,0.002,0.003,0.016,0.004,0.002,0.004,1.6,0.4,3.3,7.3
RBPLJ2143+1743,2457300.4174,0.007,0.003,-0.005,0.003,0.008,0.003,-0.005,0.003,1.0,0.3,-16.9,9.2
RBPLJ2143+1743,2457312.3431,0.002,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.5,0.3,18.7,24.8
RBPLJ2143+1743,2457330.2601,0.017,0.003,-0.004,0.003,0.018,0.004,-0.004,0.003,1.9,0.3,-5.9,5.5
RBPLJ2143+1743,2457333.2948,0.009,0.003,-0.004,0.003,0.011,0.003,-0.004,0.003,1.2,0.3,-11.2,8.5
RBPLJ2143+1743,2457336.3301,0.006,0.004,0.000,0.004,0.007,0.004,0.000,0.004,0.7,0.4,0.6,18.8
RBPLJ2143+1743,2457346.2320,0.006,0.003,-0.001,0.003,0.008,0.003,-0.001,0.003,0.8,0.3,-4.4,14.1
RBPLJ2143+1743,2457596.4296,0.007,0.003,0.001,0.003,0.008,0.003,0.001,0.003,0.8,0.3,3.1,12.0
RBPLJ2143+1743,2457597.4789,0.013,0.003,0.000,0.003,0.014,0.004,0.000,0.003,1.4,0.4,0.1,8.1
RBPLJ2143+1743,2457598.4814,0.006,0.004,0.002,0.003,0.008,0.004,0.002,0.004,0.8,0.4,7.1,17.8
RBPLJ2143+1743,2457599.4527,0.010,0.004,-0.001,0.004,0.012,0.004,-0.001,0.004,1.2,0.5,-1.9,11.9
RBPLJ2143+1743,2457601.4492,0.005,0.003,-0.001,0.003,0.006,0.003,0.000,0.003,0.6,0.3,-2.2,19.3
RBPLJ2143+1743,2457602.4386,0.012,0.004,0.008,0.004,0.013,0.004,0.008,0.004,1.5,0.4,14.8,8.2
RBPLJ2143+1743,2457603.4400,0.012,0.003,0.003,0.003,0.013,0.003,0.003,0.003,1.4,0.3,5.7,7.6
RBPLJ2143+1743,2457604.4610,0.010,0.003,0.001,0.003,0.012,0.003,0.001,0.003,1.2,0.3,1.8,8.8
RBPLJ2143+1743,2457606.4548,0.006,0.003,0.003,0.003,0.008,0.003,0.003,0.003,0.8,0.3,11.8,12.3
RBPLJ2143+1743,2457607.5220,0.006,0.003,0.004,0.002,0.007,0.003,0.004,0.003,0.8,0.3,14.0,10.8
RBPLJ2143+1743,2457608.5359,0.007,0.003,0.001,0.002,0.009,0.003,0.001,0.003,0.9,0.3,2.4,10.1
RBPLJ2143+1743,2457609.5318,0.003,0.005,-0.002,0.005,0.005,0.005,-0.002,0.005,0.5,0.5,-10.2,37.3
RBPLJ2143+1743,2457612.4888,0.001,0.003,-0.001,0.003,0.002,0.003,-0.001,0.003,0.2,0.3,-7.3,45.1
RBPLJ2143+1743,2457613.4982,0.000,0.002,-0.004,0.002,0.001,0.003,-0.004,0.002,0.4,0.3,-37.4,21.6
RBPLJ2143+1743,2457616.5203,0.009,0.003,-0.006,0.003,0.011,0.003,-0.006,0.003,1.2,0.3,-14.8,8.4
RBPLJ2143+1743,2457617.4656,0.001,0.003,0.001,0.003,0.003,0.003,0.001,0.003,0.3,0.3,7.8,41.6
RBPLJ2143+1743,2457618.5181,0.005,0.004,-0.011,0.004,0.006,0.004,-0.011,0.004,1.3,0.4,-29.7,10.0
RBPLJ2143+1743,2457619.4599,0.010,0.004,-0.002,0.003,0.011,0.004,-0.002,0.003,1.1,0.4,-5.4,11.2
RBPLJ2143+1743,2457620.4859,0.002,0.003,0.000,0.003,0.004,0.004,0.001,0.003,0.4,0.4,4.2,37.8
RBPLJ2143+1743,2457621.5428,0.007,0.004,-0.012,0.003,0.008,0.004,-0.012,0.004,1.4,0.4,-28.4,7.6
RBPLJ2143+1743,2457623.4604,0.009,0.003,-0.001,0.003,0.010,0.003,-0.001,0.003,1.1,0.3,-4.0,9.1
RBPLJ2143+1743,2457624.5047,0.006,0.003,0.000,0.003,0.007,0.003,0.000,0.003,0.8,0.3,1.9,15.2
RBPLJ2143+1743,2457625.5262,0.010,0.004,-0.002,0.004,0.011,0.004,-0.002,0.004,1.1,0.4,-5.3,11.1
RBPLJ2143+1743,2457630.4867,0.000,0.003,-0.004,0.003,0.001,0.003,-0.004,0.003,0.4,0.3,-36.2,29.0
RBPLJ2143+1743,2457631.4664,0.007,0.003,0.003,0.003,0.009,0.004,0.003,0.003,0.9,0.3,9.2,11.6
RBPLJ2143+1743,2457633.4723,0.005,0.003,0.000,0.003,0.006,0.003,0.000,0.003,0.6,0.3,0.3,18.4
RBPLJ2143+1743,2457634.4411,-0.001,0.004,0.000,0.003,0.000,0.004,0.000,0.003,0.0,0.4,21.3,60.8
RBPLJ2143+1743,2457636.4416,0.009,0.003,-0.002,0.003,0.010,0.003,-0.002,0.003,1.1,0.3,-6.3,9.5
RBPLJ2143+1743,2457637.4128,0.001,0.003,-0.002,0.002,0.002,0.003,-0.001,0.003,0.3,0.3,-14.6,42.0
RBPLJ2146-1525,2456467.5422,0.031,0.011,0.006,0.009,0.033,0.011,0.005,0.009,3.3,1.1,4.4,10.4
RBPLJ2147+0929,2456462.5623,-0.002,0.010,0.035,0.008,0.001,0.010,0.035,0.008,3.5,0.8,44.1,6.7
RBPLJ2148+0657,2456453.5959,0.026,0.003,-0.024,0.003,0.027,0.004,-0.025,0.003,3.6,0.4,-21.6,2.8
RBPLJ2148+0657,2456466.5569,0.002,0.002,0.003,0.002,0.004,0.003,0.003,0.002,0.5,0.2,20.2,15.8
RBPLJ2148+0657,2456487.4893,0.005,0.002,0.001,0.002,0.006,0.002,0.001,0.002,0.7,0.2,5.8,11.7
RBPLJ2148+0657,2456489.4842,0.003,0.004,0.002,0.003,0.004,0.004,0.002,0.003,0.5,0.4,14.6,30.7
RBPLJ2148+0657,2456493.5528,0.004,0.004,0.005,0.004,0.006,0.004,0.005,0.004,0.7,0.4,20.2,18.1
RBPLJ2148+0657,2456510.6111,0.034,0.006,-0.012,0.006,0.035,0.006,-0.013,0.007,3.7,0.6,-10.0,4.9
RBPLJ2148+0657,2456519.5551,0.019,0.010,-0.009,0.009,0.020,0.010,-0.010,0.010,2.2,1.0,-13.2,14.6
RBPLJ2148+0657,2456523.4702,0.006,0.006,-0.007,0.005,0.007,0.006,-0.007,0.005,1.0,0.6,-23.2,22.0
RBPLJ2148+0657,2456528.5247,0.017,0.005,0.003,0.004,0.019,0.005,0.002,0.004,1.9,0.5,3.6,7.5
RBPLJ2148+0657,2456531.5399,0.004,0.003,-0.004,0.003,0.006,0.003,-0.004,0.003,0.7,0.3,-16.4,16.6
RBPLJ2148+0657,2456537.4777,0.004,0.004,-0.004,0.003,0.006,0.004,-0.004,0.003,0.7,0.4,-17.9,19.3
RBPLJ2148+0657,2456541.4500,0.000,0.003,-0.003,0.003,0.002,0.004,-0.003,0.003,0.3,0.3,-29.9,39.9
RBPLJ2148+0657,2456549.4837,0.003,0.003,-0.003,0.003,0.004,0.003,-0.002,0.003,0.5,0.3,-14.3,22.9
RBPLJ2148+0657,2456576.4320,-0.001,0.008,0.001,0.008,0.001,0.009,0.002,0.008,0.2,0.8,32.1,57.4
RBPLJ2148+0657,2456587.3872,0.003,0.004,-0.007,0.003,0.004,0.004,-0.006,0.004,0.8,0.4,-28.6,16.3
RBPLJ2148+0657,2456591.3424,0.005,0.003,-0.004,0.003,0.007,0.003,-0.004,0.003,0.8,0.3,-16.7,13.8
RBPLJ2148+0657,2456605.2988,0.012,0.003,-0.006,0.003,0.013,0.004,-0.006,0.003,1.4,0.3,-11.9,7.2
RBPLJ2148+0657,2456851.5854,0.004,0.005,-0.004,0.005,0.005,0.005,-0.003,0.005,0.6,0.5,-16.3,29.6
RBPLJ2148+0657,2456857.5327,0.012,0.013,0.015,0.011,0.014,0.013,0.015,0.011,2.0,1.2,22.7,21.6
RBPLJ2148+0657,2456866.4572,0.007,0.010,-0.004,0.008,0.008,0.010,-0.004,0.008,0.9,1.0,-13.2,40.9
RBPLJ2148+0657,2456874.5286,-0.004,0.015,-0.021,0.011,-0.003,0.015,-0.020,0.012,2.0,1.2,-49.2,20.0
RBPLJ2148+0657,2456878.5439,-0.006,0.006,-0.001,0.005,-0.005,0.006,-0.001,0.005,0.5,0.6,-84.8,43.6
RBPLJ2148+0657,2456881.4605,0.008,0.017,0.000,0.012,0.009,0.017,0.000,0.012,0.9,1.7,0.9,50.6
RBPLJ2148+0657,2456883.5022,0.005,0.016,-0.024,0.012,0.006,0.016,-0.023,0.012,2.4,1.3,-38.3,18.1
RBPLJ2148+0657,2456897.4567,0.007,0.012,-0.006,0.009,0.008,0.012,-0.006,0.009,1.0,1.1,-18.2,40.5
RBPLJ2148+0657,2456901.4696,0.014,0.012,0.005,0.010,0.016,0.012,0.004,0.010,1.6,1.2,7.6,26.8
RBPLJ2148+0657,2456914.4506,-0.001,0.003,0.004,0.003,0.000,0.003,0.005,0.003,0.5,0.3,42.1,20.9
RBPLJ2148+0657,2456914.4625,0.016,0.007,-0.008,0.007,0.017,0.007,-0.009,0.007,1.9,0.7,-13.5,12.4
RBPLJ2148+0657,2456942.3858,0.030,0.007,-0.013,0.007,0.031,0.007,-0.014,0.007,3.4,0.7,-12.2,6.0
RBPLJ2148+0657,2457188.5538,0.014,0.005,-0.001,0.004,0.015,0.006,-0.001,0.005,1.5,0.6,-1.4,11.8
RBPLJ2148+0657,2457216.5903,0.014,0.005,-0.005,0.005,0.015,0.006,-0.005,0.005,1.6,0.6,-9.7,10.7
RBPLJ2148+0657,2457232.5667,0.007,0.003,0.000,0.003,0.008,0.003,0.000,0.003,0.8,0.3,-0.9,13.4
RBPLJ2148+0657,2457234.5365,0.019,0.004,-0.003,0.003,0.020,0.004,-0.003,0.003,2.0,0.4,-5.0,6.0
RBPLJ2148+0657,2457237.5044,0.005,0.004,-0.011,0.004,0.006,0.005,-0.011,0.004,1.3,0.4,-31.4,9.9
RBPLJ2148+0657,2457252.3581,-0.025,0.016,-0.015,0.012,-0.024,0.016,-0.013,0.012,2.7,1.5,-75.5,19.4
RBPLJ2148+0657,2457264.4941,0.024,0.014,-0.015,0.012,0.025,0.014,-0.015,0.012,3.0,1.4,-15.5,15.5
RBPLJ2148+0657,2457285.4721,-0.001,0.011,0.001,0.011,0.001,0.011,0.001,0.011,0.1,1.1,21.2,59.7
RBPLJ2148+0657,2457305.3152,0.014,0.013,-0.003,0.010,0.016,0.013,-0.004,0.010,1.6,1.3,-6.4,31.5
RBPLJ2148+0657,2457330.2667,-0.003,0.008,0.005,0.008,-0.001,0.009,0.005,0.008,0.6,0.8,50.6,47.4
RBPLJ2148+0657,2457332.3191,0.002,0.008,-0.003,0.006,0.003,0.008,-0.003,0.006,0.5,0.7,-21.2,48.9
RBPLJ2148+0657,2457336.3231,0.020,0.012,-0.014,0.011,0.021,0.012,-0.014,0.011,2.5,1.2,-17.0,15.3
RBPLJ2148+0657,2457337.2860,-0.001,0.010,-0.004,0.010,0.000,0.010,-0.003,0.010,0.3,1.0,-42.5,55.2
RBPLJ2148+0657,2457596.4370,-0.001,0.009,0.019,0.008,0.001,0.009,0.019,0.008,1.9,0.8,43.6,13.2
RBPLJ2148+0657,2457597.4856,0.018,0.008,-0.007,0.008,0.019,0.008,-0.007,0.008,2.1,0.8,-10.5,13.0
RBPLJ2148+0657,2457598.4880,0.010,0.008,-0.002,0.007,0.012,0.008,-0.002,0.007,1.2,0.8,-4.6,25.9
RBPLJ2148+0657,2457599.4589,0.018,0.016,0.004,0.014,0.020,0.016,0.004,0.014,2.0,1.6,5.4,29.7
RBPLJ2148+0657,2457601.4559,0.005,0.008,0.005,0.007,0.006,0.008,0.005,0.007,0.8,0.8,19.0,37.4
RBPLJ2148+0657,2457602.4451,-0.005,0.009,-0.003,0.007,-0.004,0.009,-0.002,0.007,0.4,0.8,-75.5,51.9
RBPLJ2148+0657,2457603.4492,0.005,0.003,-0.003,0.002,0.006,0.003,-0.003,0.002,0.7,0.3,-11.9,14.1
RBPLJ2148+0657,2457604.4687,0.010,0.008,0.005,0.007,0.012,0.008,0.005,0.007,1.3,0.8,11.8,23.5
RBPLJ2148+0657,2457606.4625,0.007,0.008,0.004,0.007,0.009,0.008,0.004,0.007,1.0,0.8,12.0,32.4
RBPLJ2148+0657,2457607.5318,0.004,0.004,-0.004,0.004,0.005,0.004,-0.004,0.004,0.7,0.4,-17.4,21.5
RBPLJ2148+0657,2457608.5227,0.001,0.007,0.000,0.006,0.002,0.007,0.000,0.006,0.2,0.7,1.0,56.8
RBPLJ2148+0657,2457609.5415,0.013,0.012,-0.008,0.010,0.014,0.013,-0.008,0.010,1.6,1.2,-15.0,27.9
RBPLJ2148+0657,2457612.4977,0.006,0.007,-0.006,0.006,0.007,0.007,-0.005,0.006,0.9,0.7,-18.3,28.9
RBPLJ2148+0657,2457613.5055,0.001,0.007,0.001,0.006,0.002,0.007,0.001,0.006,0.3,0.7,12.4,54.5
RBPLJ2148+0657,2457616.5284,0.017,0.008,-0.009,0.008,0.018,0.008,-0.010,0.008,2.1,0.8,-13.9,12.2
RBPLJ2148+0657,2457618.5359,0.054,0.007,-0.020,0.006,0.055,0.007,-0.022,0.007,5.9,0.7,-10.9,3.3
RBPLJ2148+0657,2457619.5439,0.029,0.009,-0.009,0.007,0.030,0.009,-0.010,0.007,3.2,0.9,-8.8,8.3
RBPLJ2148+0657,2457620.4948,0.007,0.008,0.009,0.007,0.008,0.008,0.009,0.007,1.2,0.8,23.1,22.9
RBPLJ2148+0657,2457621.5229,0.011,0.004,-0.008,0.004,0.012,0.004,-0.008,0.004,1.4,0.4,-16.8,8.7
RBPLJ2148+0657,2457622.5088,0.005,0.002,-0.004,0.002,0.006,0.003,-0.004,0.002,0.8,0.3,-16.7,10.8
RBPLJ2148+0657,2457623.4759,-0.003,0.002,-0.003,0.002,-0.001,0.002,-0.003,0.002,0.3,0.2,-58.4,25.2
RBPLJ2148+0657,2457628.5269,0.004,0.002,-0.001,0.002,0.005,0.002,-0.001,0.002,0.5,0.2,-5.2,15.5
RBPLJ2148+0657,2457630.5011,-0.001,0.002,-0.005,0.002,0.000,0.002,-0.005,0.002,0.5,0.2,-44.6,15.9
RBPLJ2148+0657,2457631.4476,0.004,0.002,-0.001,0.002,0.006,0.002,-0.001,0.002,0.6,0.2,-2.5,13.1
RBPLJ2148+0657,2457633.4566,0.004,0.002,0.001,0.002,0.005,0.002,0.001,0.002,0.5,0.2,6.5,13.8
RBPLJ2148+0657,2457634.4272,0.005,0.002,0.000,0.002,0.006,0.002,0.000,0.002,0.6,0.2,0.1,11.1
RBPLJ2148+0657,2457636.4248,0.005,0.002,0.001,0.002,0.006,0.002,0.001,0.002,0.7,0.2,5.6,11.3
RBPLJ2148+0657,2457637.3983,0.002,0.002,0.004,0.001,0.004,0.002,0.004,0.002,0.6,0.2,23.9,11.7
RBPLJ2149+0322,2456454.5309,-0.060,0.028,0.102,0.010,-0.055,0.029,0.104,0.011,11.8,1.6,58.8,4.0
RBPLJ2149+0322,2456485.5737,-0.017,0.014,0.115,0.012,-0.011,0.014,0.115,0.012,11.6,1.2,47.6,2.9
